Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
230000,640,Virar,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,350,Kalyan West,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
230000,400,Naigaon East,1,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes
230500,555,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
231000,590,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
232000,570,Taloja,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
232000,570,Nala Sopara,1,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes
233000,585,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
233000,590,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
233100,740,Boisar,2,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
234500,525,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
235000,685,Shirgaon,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
235000,540,Naigaon East,1,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
235000,625,Shirgaon,1,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
235000,430,Badlapur East,1,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
235000,425,Bandra East,1,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No
235000,390,Kalyan West,1,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
235000,390,Kalyan West,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No
235000,820,Boisar,2,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No
235000,820,Boisar,2,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes
235000,550,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
235000,590,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
235000,610,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
235000,565,Nala Sopara,1,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
235000,485,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
235000,594,Nala Sopara,1,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No
235000,585,Nala Sopara,1,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No
235000,525,Nala Sopara,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
235700,555,Virar East,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
236000,546,Taloja,1,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
